stage,step,action,reward,state,state_name,exploration,delta,delta_bb,delta_time,best_state
1,170,2,0.0,0,,,0.000121,0.000178,6.5e-05,2
1,172,1,5.9e-05,2,,,-0.000144,-0.000138,-0.000149,2
1,174,1,0.0,2,,,1.4e-05,1.1e-05,1.7e-05,2
1,176,1,0.0,2,,,2.1e-05,1.2e-05,3e-05,2
1,178,1,6.6e-05,3,,,-0.000149,-0.000199,-0.0001,3
1,180,1,2e-06,2,,,-1.2e-05,2.4e-05,-4.8e-05,2
1,182,1,0.0,2,,,6e-06,6e-06,6e-06,2
1,184,0,0.0,0,,,0.000442,0.000592,0.000292,1
1,186,1,0.0,1,,,2.9e-05,1.9e-05,3.8e-05,1
1,188,0,0.000407,1,,,-0.000272,-0.000267,-0.000278,1
1,190,1,0.000439,1,,,-0.001054,-0.001056,-0.001052,1
1,192,1,0.000102,3,,,-0.000236,-0.000286,-0.000186,3
1,194,1,1.9e-05,3,,,-4.5e-05,-4.7e-05,-4.4e-05,3
1,196,1,5.7e-05,3,,,-0.000133,-0.000154,-0.000113,3
1,198,1,0.0,2,,,1e-05,4e-06,1.6e-05,2
1,200,1,2.3e-05,2,,,-5.7e-05,-5.2e-05,-6.1e-05,2
1,202,1,5.2e-05,3,,,-0.000118,-0.000155,-8.2e-05,3
1,204,1,0.0,2,,,5.1e-05,4.1e-05,6.1e-05,2
1,206,1,1e-06,1,,,-2e-06,-1e-06,-4e-06,1
1,208,1,0.000195,3,,,-0.000461,-0.000499,-0.000424,3
1,210,1,0.0,2,,,1e-05,-2e-05,4.1e-05,2
1,212,3,0.0,0,,,3.3e-05,2.8e-05,3.9e-05,3
1,214,1,0.000128,3,,,-0.000304,-0.000317,-0.000291,3
1,216,1,2.1e-05,3,,,-5e-05,-5.7e-05,-4.2e-05,3
1,218,1,8e-06,2,,,-1.7e-05,-2.6e-05,-8e-06,2
1,220,1,3e-05,3,,,-7e-05,-8.4e-05,-5.5e-05,3
1,222,1,0.000299,3,,,-0.000719,-0.000711,-0.000727,3
1,224,1,0.000173,3,,,-0.000433,-0.000341,-0.000526,3
1,226,1,-2e-06,2,,,-4e-06,3.9e-05,-4.7e-05,2
1,228,1,4e-05,3,,,-8.4e-05,-0.000147,-2e-05,3
1,230,1,9.2e-05,3,,,-0.000209,-0.000264,-0.000153,3
1,232,1,0.000214,3,,,-0.000504,-0.00055,-0.000459,3
1,234,1,2.5e-05,3,,,-6e-05,-6.6e-05,-5.4e-05,3
1,236,1,5.7e-05,3,,,-0.000128,-0.000172,-8.3e-05,3
1,238,1,3.6e-05,3,,,-8.9e-05,-7.2e-05,-0.000105,3
1,240,1,5e-06,2,,,-1.3e-05,-1.1e-05,-1.4e-05,2
1,242,1,1.7e-05,3,,,-3.7e-05,-5.3e-05,-2.1e-05,3
1,244,1,4.1e-05,3,,,-9.3e-05,-0.000116,-7e-05,3
1,246,1,0.000197,3,,,-0.000511,-0.000326,-0.000695,3
1,248,1,0.0,1,,,0.0,5e-06,-5e-06,1
1,250,1,9.2e-05,1,,,-0.000211,-0.000257,-0.000164,1
1,252,1,2.4e-05,3,,,-5.5e-05,-7e-05,-4e-05,3
1,254,1,0.0,2,,,0.000201,0.00025,0.000153,2
1,256,1,5.6e-05,3,,,-0.000136,-0.000127,-0.000145,3
1,258,1,5.9e-05,3,,,-0.000145,-0.000129,-0.000161,3
1,260,1,0.000188,3,,,-0.000429,-0.000537,-0.00032,3
1,262,1,6.6e-05,3,,,-0.000174,-9.9e-05,-0.000249,3
1,264,1,0.0,2,,,9.8e-05,0.000149,4.6e-05,2
1,266,1,0.000167,3,,,-0.000381,-0.00048,-0.000282,3
1,268,1,0.000175,3,,,-0.000461,-0.000259,-0.000663,3
1,270,1,8.8e-05,3,,,-0.000206,-0.000228,-0.000184,3
1,272,1,0.000215,3,,,-0.000554,-0.000366,-0.000742,3
1,274,1,2.5e-05,3,,,-5.4e-05,-7.9e-05,-2.9e-05,3
1,276,1,0.0,2,,,0.000185,0.000241,0.000129,2
1,278,1,2.6e-05,3,,,-6.3e-05,-5.5e-05,-7.1e-05,3
1,280,1,0.000158,3,,,-0.000359,-0.000464,-0.000254,3
1,282,1,1.1e-05,3,,,-2.8e-05,-1.8e-05,-3.8e-05,3
1,284,1,0.0,2,,,5e-06,5e-06,5e-06,2
1,286,1,1.7e-05,3,,,-3.6e-05,-5.5e-05,-1.7e-05,3
1,288,1,0.0,2,,,1.7e-05,2.4e-05,1e-05,2
1,290,2,1.8e-05,3,,,-6.3e-05,-7.2e-05,-5.5e-05,3
1,292,1,4e-06,1,,,-9e-06,-1.6e-05,-1e-06,2
1,294,1,0.000187,2,,,-0.000448,-0.000452,-0.000444,2
1,296,1,1e-05,3,,,-2.5e-05,-1.5e-05,-3.5e-05,3
1,298,1,6.9e-05,3,,,-0.000158,-0.000198,-0.000119,3
1,300,0,0.000348,2,,,-0.000231,-0.000234,-0.000229,3
1,302,1,1e-06,2,,,-3e-06,-2e-06,-3e-06,2
1,304,1,0.000417,3,,,-0.001048,-0.00081,-0.001287,3
1,306,1,3.9e-05,3,,,-0.000103,-5.5e-05,-0.00015,3
1,308,1,6.5e-05,3,,,-0.000151,-0.000174,-0.000128,3
1,310,1,4.8e-05,3,,,-0.000116,-0.000108,-0.000124,3
1,312,1,0.0,2,,,1.1e-05,1e-05,1.1e-05,2
1,314,0,0.000305,3,,,-0.000191,-0.000253,-0.000128,3
1,316,0,0.0,2,,,0.000167,0.000237,9.6e-05,2
1,318,0,0.0,2,,,0.000274,0.00029,0.000257,2
1,320,0,3.2e-05,3,,,-2.1e-05,-2.1e-05,-2.1e-05,3
1,322,0,8e-05,3,,,-4.7e-05,-8e-05,-1.3e-05,3
1,324,0,0.000301,3,,,-0.000193,-0.000232,-0.000153,3
1,326,0,0.00015,3,,,-9.5e-05,-0.000119,-7.2e-05,3
1,328,0,0.00018,3,,,-0.000116,-0.000138,-9.4e-05,3
1,330,0,0.0,2,,,8.7e-05,9.9e-05,7.5e-05,2
1,332,0,6e-06,2,,,-6e-06,3e-06,-1.4e-05,2
1,334,0,0.0,2,,,9e-05,0.000117,6.3e-05,2
1,336,1,6.3e-05,2,,,-0.000141,-0.00019,-9.3e-05,2
1,338,1,1.3e-05,3,,,-3.1e-05,-3.2e-05,-3.1e-05,3
1,340,1,0.0,2,,,0.0,nan,nan,2
1,342,1,0.000253,3,,,-0.000567,-0.000766,-0.000367,3
1,344,1,0.0,2,,,8e-06,1.4e-05,3e-06,2
1,346,3,0.000172,1,,,-0.000273,-0.000343,-0.000203,1
1,348,1,5.7e-05,2,,,-0.000129,-0.000164,-9.5e-05,2
1,350,1,3.8e-05,3,,,-8.5e-05,-0.000117,-5.4e-05,3
1,352,1,8.3e-05,3,,,-0.000188,-0.000245,-0.00013,3
1,354,1,2.6e-05,3,,,-6.2e-05,-6.5e-05,-5.9e-05,3
1,356,1,0.0,2,,,2.8e-05,1.9e-05,3.8e-05,2
1,358,3,0.000222,2,,,-0.000368,-0.000377,-0.000359,2
1,360,2,3.9e-05,2,,,-0.000136,-0.00016,-0.000111,2
1,362,3,0.000166,2,,,-0.000228,-0.000473,1.7e-05,2
1,364,3,0.0,2,,,5e-06,3e-06,8e-06,2
1,366,3,8.9e-05,3,,,-0.00014,-0.000183,-9.8e-05,3
1,368,3,1.8e-05,3,,,-2.9e-05,-3.7e-05,-2.1e-05,3
1,370,3,0.000135,3,,,-0.000209,-0.000289,-0.000129,3
1,372,1,6.6e-05,3,,,-0.000148,-0.000201,-9.4e-05,3
1,374,1,7e-06,2,,,-2e-05,-7e-06,-3.3e-05,2
1,376,1,1.8e-05,3,,,-4.1e-05,-5.4e-05,-2.8e-05,3
1,378,1,0.000333,3,,,-0.000815,-0.000739,-0.000891,3
1,380,3,0.000151,2,,,-0.000243,-0.000282,-0.000205,3
1,382,1,0.0,2,,,4.4e-05,4.6e-05,4.3e-05,2
1,384,1,0.00032,3,,,-0.000724,-0.000942,-0.000505,3
1,386,1,2.3e-05,3,,,-6e-05,-3.1e-05,-8.8e-05,3
1,388,1,4.4e-05,3,,,-0.000106,-0.000102,-0.00011,3
1,390,3,0.0,1,,,5e-06,4e-06,7e-06,2
1,392,1,0.0,2,,,0.00014,0.00029,-9e-06,2
1,394,1,0.000359,3,,,-0.000954,-0.000495,-0.001413,3
1,396,1,0.0001,3,,,-0.000225,-0.000294,-0.000156,3
