stage,step,action,reward,state,state_name,exploration,delta,delta_bb,delta_time,best_state
1,192782,3,0.0,0,,,8.5e-05,0.000124,4.6e-05,0
1,192784,3,0.0,0,,,0.001596,0.001147,0.002045,0
1,192786,1,0.0,0,,,0.001294,0.001782,0.000805,0
1,192788,0,0.0,0,,,0.000364,0.000441,0.000287,0
1,192790,3,0.0,0,,,0.000295,0.000302,0.000288,0
1,192792,0,0.0,0,,,0.001817,0.002263,0.001371,0
1,192794,3,5.6e-05,2,,,-7.7e-05,-0.000158,4e-06,2
1,192796,0,0.0,0,,,0.000766,0.000912,0.000619,1
1,192798,3,0.0,1,,,3.3e-05,4.8e-05,1.9e-05,1
1,192800,3,0.0,1,,,0.000227,0.000247,0.000208,1
1,192802,3,2.5e-05,3,,,-4.2e-05,-4.1e-05,-4.3e-05,3
1,192804,3,0.0,2,,,0.001457,0.00224,0.000674,2
1,192806,2,0.0,0,,,0.0005,0.000459,0.000541,3
1,192808,3,0.000255,3,,,-0.000424,-0.000428,-0.00042,3
1,192810,3,1.6e-05,3,,,-4.4e-05,3.8e-05,-0.000126,3
1,192812,3,-3e-06,1,,,-5e-06,4.8e-05,-5.8e-05,1
1,192814,0,0.0,0,,,0.001398,0.001666,0.001131,0
1,192816,3,0.0,0,,,0.000108,-3.6e-05,0.000253,0
1,192818,3,0.0,0,,,2e-05,2.9e-05,1e-05,0
1,192820,3,0.0,0,,,0.000231,0.000358,0.000104,0
1,192822,0,0.0,0,,,0.000609,0.000618,0.000601,0
1,192824,2,0.0,0,,,0.000153,0.000161,0.000145,0
1,192826,3,2.4e-05,1,,,-4.1e-05,-3.4e-05,-4.8e-05,1
1,192828,3,0.0,0,,,0.001842,0.002745,0.000939,0
1,192830,3,1.7e-05,1,,,-2.9e-05,-2.3e-05,-3.6e-05,1
1,192832,0,0.0,0,,,0.000304,0.000359,0.000249,0
1,192834,3,1.6e-05,1,,,-2.8e-05,-2.6e-05,-2.9e-05,1
1,192836,2,-0.0,0,,,-6e-06,2.5e-05,-3.6e-05,0
1,192838,2,0.0,0,,,0.001083,0.0009,0.001266,1
1,192840,1,5e-06,0,,,-1.3e-05,-1.3e-05,-1.4e-05,0
1,192842,2,0.000202,1,,,-0.00073,-0.000717,-0.000742,1
1,192844,2,1.4e-05,1,,,-4.1e-05,-8.5e-05,4e-06,1
1,192846,2,0.0,0,,,0.000116,0.000166,6.6e-05,0
1,192848,1,0.0,0,,,1.1e-05,2.2e-05,-1e-06,0
1,192850,1,1.8e-05,1,,,-7.1e-05,7.1e-05,-0.000212,1
1,192852,1,1.8e-05,3,,,-4.1e-05,-5.5e-05,-2.7e-05,3
1,192854,1,7e-06,1,,,-2.1e-05,-4e-06,-3.7e-05,1
1,192856,3,7e-06,0,,,-1.3e-05,-6e-06,-2e-05,0
1,192858,3,4e-05,1,,,-5.8e-05,-0.000102,-1.5e-05,1
1,192860,3,0.0,1,,,3.2e-05,3.2e-05,3.1e-05,1
1,192862,2,0.0,0,,,0.002072,0.00209,0.002054,0
1,192864,0,0.0,0,,,0.00318,0.003295,0.003066,0
1,192866,0,2e-06,0,,,-2e-06,0.0,-3e-06,0
1,192868,2,0.0,0,,,0.001135,0.001516,0.000755,0
1,192870,3,4.9e-05,2,,,-8.3e-05,-7.8e-05,-8.7e-05,2
1,192872,3,9.6e-05,2,,,-0.000166,-0.000136,-0.000196,2
1,192874,2,0.0,0,,,0.000113,8.8e-05,0.000137,1
1,192876,0,0.0,0,,,0.001236,0.001096,0.001376,2
1,192878,3,0.0,0,,,0.00064,0.00053,0.000749,0
1,192880,3,8.7e-05,1,,,-0.000146,-0.000142,-0.000151,1
1,192882,3,1.7e-05,3,,,-2.7e-05,-3.3e-05,-2.2e-05,3
1,192884,3,0.0,1,,,0.000251,0.000363,0.00014,1
1,192886,2,1.5e-05,1,,,-5.8e-05,-3.6e-05,-8e-05,1
1,192888,3,0.0,0,,,0.001956,0.002609,0.001303,0
1,192890,2,0.0,0,,,0.001445,0.001879,0.00101,0
1,192892,3,0.0,0,,,0.00081,0.000692,0.000927,0
1,192894,2,0.0,0,,,0.000205,0.000275,0.000135,0
1,192896,1,1.1e-05,1,,,-2.8e-05,-1.9e-05,-3.7e-05,1
1,192898,1,0.0,0,,,0.000112,0.00011,0.000115,0
1,192900,2,1e-06,0,,,-3e-06,-1e-06,-5e-06,0
1,192902,2,0.0,0,,,7.6e-05,6e-05,9.3e-05,0
1,192904,2,0.0,0,,,8.6e-05,8e-05,9.2e-05,0
1,192906,0,0.0,0,,,5.5e-05,4.3e-05,6.7e-05,0
1,192908,1,0.0,0,,,7e-06,1.3e-05,1e-06,0
1,192910,3,6.2e-05,2,,,-0.000137,3.5e-05,-0.000309,2
1,192912,3,0.0,2,,,2.5e-05,4.5e-05,4e-06,2
1,192914,3,2.7e-05,2,,,-4.5e-05,-5e-05,-4e-05,2
1,192916,3,0.0,0,,,-6e-06,2.2e-05,-3.3e-05,0
1,192918,2,2.5e-05,1,,,-0.0001,-5.8e-05,-0.000142,1
1,192920,0,0.0,0,,,0.004265,0.005574,0.002955,0
1,192922,2,0.0,0,,,7.2e-05,6.6e-05,7.8e-05,0
1,192924,2,1e-05,2,,,-3.3e-05,-3.8e-05,-2.9e-05,2
1,192926,2,0.0,0,,,0.000133,0.000159,0.000108,0
1,192928,0,0.0,0,,,0.000728,0.000782,0.000674,0
1,192930,0,0.0,0,,,1.2e-05,9e-06,1.4e-05,0
1,192932,3,0.0,0,,,0.000275,0.000455,9.6e-05,0
1,192934,2,0.0,0,,,6.1e-05,7.3e-05,4.9e-05,0
1,192936,2,0.0,0,,,0.000288,0.000225,0.000351,0
1,192938,3,0.0,0,,,0.0,0.0,0.0,0
1,192940,2,9e-06,0,,,-3.4e-05,-1.9e-05,-4.8e-05,0
1,192942,2,6e-05,1,,,-0.000201,-0.000278,-0.000124,1
1,192944,3,0.0,0,,,5.5e-05,5.7e-05,5.4e-05,0
1,192946,1,0.0,0,,,6.8e-05,4.4e-05,9.1e-05,0
1,192948,1,0.0,0,,,5.7e-05,6.6e-05,4.7e-05,0
1,192950,1,4e-06,0,,,-7e-06,-1.4e-05,-0.0,0
1,192952,0,3.7e-05,1,,,-2.8e-05,-1.1e-05,-4.6e-05,1
1,192954,0,0.0,0,,,0.00214,0.002715,0.001565,0
1,192956,0,0.0,0,,,0.000502,0.000639,0.000365,0
1,192958,3,2.5e-05,1,,,-4.5e-05,-3.2e-05,-5.8e-05,1
1,192960,3,0.0,1,,,2.8e-05,4e-05,1.6e-05,1
1,192962,3,2e-06,1,,,-3e-06,0.0,-6e-06,1
1,192964,3,0.0,0,,,0.000619,0.000916,0.000322,0
1,192966,1,1.2e-05,1,,,-2.3e-05,-5.8e-05,1.2e-05,1
1,192968,2,-1e-06,0,,,-1.4e-05,7.6e-05,-0.000104,0
1,192970,2,4e-06,0,,,-1.6e-05,-9e-06,-2.4e-05,0
1,192972,0,0.0,0,,,0.000642,0.000785,0.000499,1
1,192974,3,6.2e-05,1,,,-0.000103,-0.000107,-9.9e-05,1
1,192976,3,0.0,0,,,0.0003,0.000292,0.000308,0
1,192978,3,0.0,0,,,0.000168,0.000212,0.000124,0
1,192980,1,0.0,0,,,2.2e-05,1.1e-05,3.3e-05,0
1,192982,0,0.0,0,,,0.000903,0.001164,0.000642,0
1,192984,2,0.0,0,,,0.000148,0.000206,9e-05,0
1,192986,2,0.00025,1,,,-0.000914,-0.000849,-0.000979,1
1,192988,0,0.0,0,,,0.004032,0.003299,0.004765,0
1,192990,1,0.0,0,,,4.9e-05,1.3e-05,8.4e-05,0
1,192992,0,0.0,0,,,0.000347,0.000299,0.000396,0
1,192994,0,0.0,0,,,0.001578,0.001858,0.001297,0
1,192996,2,0.0,0,,,1e-06,-1.7e-05,1.8e-05,0
1,192998,1,0.0,0,,,0.000311,0.000393,0.000229,0
1,193000,3,0.000119,2,,,-0.000192,-0.000224,-0.00016,2
1,193002,3,0.0,0,,,1.7e-05,2e-05,1.5e-05,0
1,193004,2,1e-05,2,,,-2.7e-05,-7.3e-05,1.9e-05,2
1,193006,2,0.0,0,,,4.4e-05,5.6e-05,3.3e-05,0
1,193008,2,2.5e-05,1,,,-9.1e-05,-8.1e-05,-0.000101,1
1,193010,2,9e-06,0,,,-3.3e-05,-3.1e-05,-3.4e-05,0
1,193012,3,0.000154,1,,,-0.000242,-0.000312,-0.000172,1
1,193014,3,0.0,1,,,0.000601,0.000783,0.000418,1
1,193016,1,0.0,0,,,0.000498,0.000746,0.000249,0
1,193018,1,6.6e-05,1,,,-0.000164,-0.000141,-0.000186,1
1,193020,1,1.3e-05,1,,,-3.2e-05,-2.8e-05,-3.7e-05,1
1,193022,3,0.0,0,,,5e-05,3e-05,7.1e-05,0
1,193024,3,9e-06,0,,,-1.5e-05,-1.6e-05,-1.4e-05,0
1,193026,2,3.2e-05,1,,,-0.000118,-0.00011,-0.000125,1
1,193028,2,0.0,0,,,0.003363,0.004608,0.002118,0
1,193030,2,0.0,0,,,0.000201,0.000246,0.000156,0
1,193032,2,1.3e-05,2,,,-5.9e-05,-6e-06,-0.000112,2
1,193034,2,0.0,1,,,0.000233,0.000206,0.00026,1
1,193036,2,0.0,1,,,0.000817,0.001107,0.000528,1
1,193038,2,1.3e-05,1,,,-4.6e-05,-5e-05,-4.2e-05,1
1,193040,1,1.8e-05,1,,,-5.3e-05,1e-06,-0.000107,1
1,193042,1,2e-06,0,,,-4e-06,-7e-06,-2e-06,0
1,193044,2,0.0,0,,,0.000419,0.000329,0.00051,0
1,193046,0,0.0,0,,,0.00212,0.002874,0.001365,0
1,193048,3,3.1e-05,2,,,-4.8e-05,-6.9e-05,-2.8e-05,2
1,193050,3,7.4e-05,2,,,-0.000116,-0.000152,-8e-05,2
1,193052,3,0.0,0,,,0.000147,0.000145,0.00015,0
1,193054,2,0.0,0,,,6e-06,-3.3e-05,4.5e-05,0
1,193056,0,0.0,0,,,0.000558,0.000656,0.00046,0
1,193058,3,0.0,0,,,0.000831,0.00065,0.001011,0
1,193060,1,8e-06,0,,,-2.2e-05,-5e-06,-3.9e-05,0
1,193062,1,6.9e-05,1,,,-0.000236,0.000116,-0.000588,1
1,193064,1,0.0,0,,,1e-05,-9e-06,2.8e-05,0
1,193066,1,0.0,0,,,1.6e-05,4.2e-05,-1.1e-05,0
1,193068,1,2.2e-05,1,,,-5.4e-05,-4.9e-05,-5.9e-05,1
1,193070,2,0.0,0,,,2.2e-05,-1.4e-05,5.7e-05,0
1,193072,3,1e-06,0,,,-2e-06,4e-06,-9e-06,0
1,193074,3,0.0,0,,,0.000418,0.000614,0.000222,0
1,193076,3,0.0,0,,,5e-05,3.6e-05,6.5e-05,0
1,193078,2,0.0,0,,,0.000254,0.000345,0.000164,0
1,193080,0,-1e-05,0,,,-2e-06,4e-05,-4.3e-05,0
1,193082,1,0.0,0,,,2.5e-05,2.9e-05,2.1e-05,0
1,193084,3,0.0,0,,,7e-06,3e-05,-1.5e-05,0
1,193086,3,0.0,0,,,0.000126,0.000138,0.000113,0
1,193088,2,1.7e-05,1,,,-6.5e-05,-4.1e-05,-8.9e-05,1
1,193090,2,3e-06,0,,,-1.3e-05,-1e-06,-2.5e-05,0
1,193092,3,0.0,0,,,0.001033,0.001386,0.000679,0
1,193094,3,0.0,0,,,9.5e-05,0.00013,6e-05,0
1,193096,2,0.0,0,,,6.7e-05,5.3e-05,8.1e-05,0
1,193098,0,0.0,0,,,0.000629,0.000603,0.000655,0
1,193100,3,0.0,0,,,6.3e-05,6.4e-05,6.2e-05,0
1,193102,1,0.0,0,,,4.9e-05,-1.3e-05,0.000111,0
1,193104,3,1e-06,0,,,-2e-06,1e-06,-6e-06,0
1,193106,3,0.0,0,,,9.5e-05,6.8e-05,0.000122,0
1,193108,2,9e-05,2,,,-0.000311,-0.000375,-0.000248,2
1,193110,2,0.0,0,,,0.000247,0.00032,0.000174,0
1,193112,1,0.0,0,,,0.000432,0.000457,0.000408,0
1,193114,0,0.0,0,,,0.001638,0.001932,0.001344,0
1,193116,0,0.0,0,,,2.5e-05,1.5e-05,3.5e-05,0
1,193118,2,0.0,0,,,6e-06,1e-06,1.2e-05,0
1,193120,2,0.0,0,,,2.3e-05,2.8e-05,1.8e-05,0
1,193122,1,5e-06,0,,,-1.8e-05,1.6e-05,-5.2e-05,0
1,193124,2,0.0,0,,,5.1e-05,5.9e-05,4.3e-05,0
1,193126,2,0.0,0,,,4.1e-05,3.3e-05,4.9e-05,0
1,193128,0,0.0,0,,,0.002265,0.003124,0.001405,0
1,193130,1,4e-06,0,,,-9e-06,-1.2e-05,-6e-06,0
1,193132,1,0.000137,1,,,-0.000317,-0.000381,-0.000252,1
1,193134,3,0.0,0,,,0.000392,0.000545,0.000238,2
1,193136,1,0.0,0,,,1.4e-05,4.3e-05,-1.5e-05,0
1,193138,3,0.0,0,,,0.000107,7.8e-05,0.000135,0
1,193140,3,0.0,0,,,6.3e-05,7.8e-05,4.9e-05,0
1,193142,1,0.0,0,,,4.6e-05,5.8e-05,3.4e-05,0
1,193144,1,0.0,0,,,0.000411,0.000575,0.000248,0
1,193146,2,0.0,0,,,0.000288,0.00037,0.000205,0
1,193148,2,0.0,0,,,4.3e-05,4.8e-05,3.9e-05,0
1,193150,1,0.00021,1,,,-0.000514,-0.000468,-0.00056,1
1,193152,0,0.0,0,,,0.001674,0.002542,0.000807,0
1,193154,1,0.0,0,,,0.000343,0.000324,0.000363,0
1,193156,2,7e-06,0,,,-1.9e-05,-5.4e-05,1.5e-05,0
1,193158,2,0.0,0,,,0.000248,0.000117,0.000378,0
1,193160,3,2e-05,1,,,-3.4e-05,-3.4e-05,-3.5e-05,1
1,193162,3,0.0,1,,,1.2e-05,-9.4e-05,0.000117,1
1,193164,1,0.0,0,,,0.000523,0.000636,0.000409,0
1,193166,2,0.0,0,,,0.000878,0.001258,0.000499,0
1,193168,2,0.0,0,,,0.00013,0.000184,7.5e-05,0
1,193170,2,0.0,0,,,0.003863,0.002498,0.005228,0
1,193172,3,0.0,0,,,7e-05,4.3e-05,9.7e-05,0
1,193174,3,0.0,0,,,1.3e-05,5e-06,2e-05,0
1,193176,2,0.0,0,,,6e-06,-5e-06,1.7e-05,0
1,193178,2,0.0,0,,,0.000247,0.00034,0.000153,0
1,193180,3,0.0,0,,,0.000509,0.000539,0.000478,0
1,193182,0,2e-05,1,,,-1.5e-05,-6e-06,-2.5e-05,1
1,193184,0,0.0,1,,,0.000601,0.000606,0.000595,1
1,193186,0,7.5e-05,1,,,-6.1e-05,-6e-06,-0.000116,1
1,193188,2,0.0,0,,,0.000165,0.000185,0.000146,0
1,193190,0,0.0,0,,,6.1e-05,5.9e-05,6.4e-05,0
1,193192,2,0.0,0,,,8.7e-05,5.1e-05,0.000122,0
1,193194,2,0.0,0,,,0.000417,0.000707,0.000127,0
1,193196,2,0.0,0,,,8.4e-05,8.7e-05,8e-05,0
1,193198,2,0.000179,1,,,-0.00066,-0.000582,-0.000737,1
1,193200,3,0.0,0,,,1.1e-05,-1e-06,2.3e-05,2
1,193202,0,4.3e-05,1,,,-3.2e-05,-1.6e-05,-4.8e-05,2
1,193204,0,0.0,0,,,0.000953,0.001295,0.000611,1
1,193206,2,0.0,0,,,-6e-06,1.7e-05,-2.9e-05,0
1,193208,1,2.3e-05,2,,,-5.7e-05,-4.6e-05,-6.9e-05,2
1,193210,1,0.0,2,,,0.000189,0.000317,6e-05,2
1,193212,1,0.0,0,,,0.002685,0.003758,0.001611,0
1,193214,3,0.0,0,,,0.0,0.0,0.0,0
1,193216,3,0.0,0,,,0.000286,0.000321,0.00025,0
1,193218,1,0.000162,1,,,-0.000353,-0.000527,-0.000179,1
1,193220,2,0.0,0,,,2e-05,1.4e-05,2.6e-05,0
1,193222,3,0.0,0,,,0.000322,0.000419,0.000224,0
1,193224,3,5e-06,0,,,-1e-05,0.0,-2.1e-05,0
1,193226,0,0.0,0,,,0.002959,0.003074,0.002843,0
1,193228,3,6.3e-05,1,,,-0.000105,-0.000106,-0.000105,1
1,193230,3,4e-06,1,,,-7e-06,-8e-06,-7e-06,1
1,193232,3,6.4e-05,3,,,-0.000105,-0.000114,-9.6e-05,3
1,193234,3,6.1e-05,3,,,-0.000118,-3.6e-05,-0.000199,3
1,193236,3,0.0,1,,,0.001153,0.000982,0.001324,1
1,193238,3,0.0,1,,,0.001379,0.001226,0.001531,1
1,193240,3,0.0,1,,,3.3e-05,2.1e-05,4.4e-05,1
1,193242,2,1e-05,1,,,-3.9e-05,-2.6e-05,-5.2e-05,1
1,193244,2,0.0,0,,,0.001252,0.001613,0.00089,0
1,193246,0,0.0,0,,,5.1e-05,3.6e-05,6.5e-05,0
1,193248,0,0.0,0,,,0.000621,0.000749,0.000492,0
1,193250,0,0.0,0,,,0.000393,0.000559,0.000227,0
1,193252,1,9.2e-05,2,,,-0.000215,-0.000245,-0.000186,2
1,193254,1,2.7e-05,3,,,-7.2e-05,-3e-05,-0.000114,3
1,193256,1,0.0,1,,,-0.0,0.0,-0.0,1
1,193258,3,0.0,0,,,0.000333,0.000448,0.000218,0
1,193260,3,0.0,0,,,1.6e-05,3e-06,2.9e-05,0
1,193262,2,1.7e-05,1,,,-5.5e-05,-8.3e-05,-2.6e-05,1
1,193264,3,0.000142,1,,,-0.000235,-0.000247,-0.000223,1
1,193266,3,0.0,0,,,0.000882,0.000955,0.000809,0
1,193268,0,0.0,0,,,0.000949,0.001073,0.000825,0
1,193270,3,2.7e-05,1,,,-5.6e-05,-2e-06,-0.00011,1
1,193272,3,3e-06,1,,,-7e-06,6e-06,-2.1e-05,1
1,193274,3,0.0,1,,,5e-06,-3e-06,1.3e-05,1
1,193276,3,0.0,1,,,0.000184,0.00027,9.7e-05,1
1,193278,3,0.0,0,,,0.000409,0.000568,0.00025,0
1,193280,3,9.4e-05,1,,,-0.000163,-0.000133,-0.000192,1
1,193282,3,0.0,1,,,0.000661,0.000658,0.000664,1
1,193284,2,0.0,0,,,0.000895,0.001086,0.000705,0
1,193286,2,5e-06,0,,,-2.3e-05,-5e-06,-4.1e-05,0
1,193288,1,0.0,0,,,0.000257,0.000105,0.000408,0
1,193290,3,0.0,0,,,3.6e-05,-8.4e-05,0.000156,0
1,193292,1,2.9e-05,1,,,-7.4e-05,-5.4e-05,-9.5e-05,1
1,193294,0,0.0,0,,,0.001286,0.001373,0.001199,0
1,193296,3,0.0,0,,,0.000392,0.000498,0.000287,0
1,193298,3,0.0,0,,,1.4e-05,2.6e-05,2e-06,0
1,193300,0,0.0,0,,,0.004156,0.004112,0.004199,0
1,193302,0,0.0,0,,,0.000677,0.000936,0.000417,0
1,193304,3,0.0,0,,,9.7e-05,8.8e-05,0.000106,0
1,193306,1,0.0,0,,,0.000296,0.000481,0.000111,0
1,193308,2,0.0,0,,,0.000183,7.7e-05,0.000289,0
1,193310,0,0.0,0,,,0.001031,0.001234,0.000829,0
1,193312,3,0.0,0,,,7.2e-05,6.8e-05,7.6e-05,0
1,193314,0,0.0,0,,,0.001117,0.001441,0.000793,0
1,193316,1,0.0,0,,,0.001386,0.001395,0.001377,0
1,193318,1,0.0,0,,,0.000477,0.000263,0.00069,1
1,193320,0,0.0,0,,,0.001543,0.001716,0.001369,0
1,193322,0,0.0,0,,,0.000811,0.001052,0.00057,0
1,193324,2,0.0,0,,,0.000325,0.000163,0.000487,1
1,193326,1,0.0,1,,,0.000201,0.000327,7.6e-05,1
1,193328,1,0.0,1,,,4.8e-05,3.5e-05,6.1e-05,1
1,193330,0,0.0,0,,,0.000543,0.00074,0.000346,0
1,193332,0,0.0,0,,,0.000199,0.000288,0.000111,0
1,193334,0,0.0,0,,,0.000242,0.000235,0.000248,0
1,193336,0,0.0,0,,,0.000182,0.000238,0.000126,0
1,193338,3,8e-06,0,,,-1.5e-05,-9e-06,-2.2e-05,0
1,193340,2,1.5e-05,1,,,-6e-05,-2.5e-05,-9.4e-05,1
1,193342,0,0.0,0,,,0.000397,0.000449,0.000345,0
1,193344,3,0.0,0,,,4.4e-05,5.9e-05,3e-05,0
1,193346,1,0.0,0,,,8.3e-05,6.1e-05,0.000105,0
1,193348,3,6.5e-05,1,,,-9.5e-05,-0.000164,-2.7e-05,1
1,193350,0,0.0,0,,,0.001079,0.001503,0.000656,0
1,193352,0,8e-06,0,,,-5e-06,-6e-06,-3e-06,0
1,193354,2,3.7e-05,1,,,-0.000134,-0.000138,-0.000129,1
1,193356,2,0.0,0,,,3.6e-05,7.9e-05,-7e-06,0
1,193358,3,0.0,0,,,0.000191,0.000212,0.00017,0
1,193360,0,0.0,0,,,0.000324,0.000408,0.000241,0
1,193362,3,0.0,0,,,5.3e-05,2.4e-05,8.2e-05,0
1,193364,1,1.1e-05,2,,,-2.5e-05,-3.7e-05,-1.3e-05,2
1,193366,1,0.0,2,,,8.6e-05,1.2e-05,0.00016,2
1,193368,1,5e-06,0,,,-1.9e-05,2e-05,-5.8e-05,0
1,193370,1,0.0,0,,,0.000407,0.000427,0.000387,0
1,193372,3,0.0,0,,,0.000562,0.000721,0.000404,0
1,193374,3,0.0,0,,,0.000304,0.000231,0.000376,0
1,193376,1,0.0,0,,,5e-06,1.9e-05,-9e-06,0
1,193378,0,0.0,0,,,0.000824,0.001156,0.000492,0
1,193380,3,0.0,0,,,3.1e-05,4.1e-05,2e-05,0
1,193382,2,2.4e-05,2,,,-7.1e-05,-0.000153,1e-05,2
1,193384,2,0.0,2,,,0.000297,0.000514,8e-05,2
1,193386,2,3.7e-05,2,,,-0.000146,-8.8e-05,-0.000204,2
1,193388,2,0.0,0,,,0.000727,0.000831,0.000623,0
1,193390,3,4e-06,0,,,-7e-06,-8e-06,-7e-06,0
1,193392,1,0.0,0,,,0.000927,0.000679,0.001176,0
1,193394,3,0.0,0,,,7.2e-05,1.3e-05,0.000132,0
1,193396,1,0.0,0,,,4.6e-05,5.3e-05,3.9e-05,0
1,193398,1,0.0,0,,,0.000176,0.000217,0.000135,0
1,193400,3,0.0,0,,,0.000929,0.000893,0.000966,0
1,193402,1,1.8e-05,2,,,-4.1e-05,-5.4e-05,-2.7e-05,2
1,193404,1,0.0,1,,,0.000223,0.000249,0.000196,1
1,193406,1,0.0,1,,,0.000433,0.000785,8.2e-05,1
1,193408,1,0.0,0,,,0.001678,0.002179,0.001177,0
1,193410,0,0.0,0,,,0.002463,0.002689,0.002238,0
1,193412,2,0.0,0,,,0.000629,0.001027,0.000232,1
1,193414,1,0.0,0,,,4.5e-05,3.5e-05,5.4e-05,0
1,193416,2,0.0,0,,,0.000285,0.000343,0.000226,0
1,193418,2,0.0,0,,,0.000277,0.000379,0.000175,0
1,193420,2,1e-06,0,,,-3e-06,-2e-06,-4e-06,0
1,193422,2,0.0,0,,,1.2e-05,3e-05,-6e-06,0
1,193424,0,0.0,0,,,7.7e-05,6.6e-05,8.7e-05,0
1,193426,2,0.0,0,,,4.8e-05,3e-06,9.2e-05,0
1,193428,1,4.9e-05,1,,,-0.000124,-9.2e-05,-0.000156,1
1,193430,0,0.0,0,,,0.000698,0.000876,0.00052,0
1,193432,2,0.0,0,,,0.0003,0.000217,0.000382,0
1,193434,2,0.0,0,,,0.000157,0.000133,0.000181,0
1,193436,2,0.0,0,,,0.000243,0.000225,0.000261,0
1,193438,2,1.1e-05,1,,,-3.9e-05,-4.2e-05,-3.6e-05,1
1,193440,0,9.3e-05,2,,,-6.4e-05,-5.3e-05,-7.5e-05,2
1,193442,2,0.0,0,,,0.000705,0.000745,0.000666,1
1,193444,1,6e-06,0,,,-1.5e-05,-1.4e-05,-1.6e-05,0
1,193446,1,0.0,0,,,0.000163,0.000139,0.000188,0
1,193448,0,0.0,0,,,0.000783,0.001021,0.000546,0
1,193450,0,0.0,0,,,0.00434,0.004049,0.004632,0
1,193452,0,0.0,0,,,5.1e-05,5.1e-05,5.1e-05,0
1,193454,1,0.0,0,,,0.000363,0.000346,0.000381,0
1,193456,3,0.0,0,,,2e-06,7e-06,-4e-06,0
1,193458,0,0.0,0,,,0.001215,0.001028,0.001402,0
1,193460,1,9.2e-05,2,,,-0.000208,-0.000271,-0.000144,2
1,193462,1,0.0,2,,,0.000149,0.00018,0.000118,2
1,193464,1,0.0,0,,,0.000446,0.000646,0.000247,0
1,193466,1,0.0,0,,,8e-06,7e-06,1e-05,0
1,193468,1,0.0,0,,,8e-06,-2.3e-05,3.8e-05,0
1,193470,2,0.0,0,,,0.000154,0.00013,0.000179,0
1,193472,3,0.0,0,,,0.000298,0.000405,0.000191,0
1,193474,1,1.3e-05,1,,,-2.4e-05,-5.5e-05,7e-06,1
1,193476,3,7.7e-05,1,,,-0.00013,-0.000118,-0.000142,1
1,193478,0,0.0,0,,,0.001375,0.001909,0.000842,0
1,193480,2,5.8e-05,1,,,-0.000214,-0.000194,-0.000235,1
1,193482,2,0.0,0,,,0.000666,0.000875,0.000456,0
1,193484,1,7e-05,1,,,-0.000182,-0.000108,-0.000256,1
1,193486,1,4.2e-05,3,,,-9.4e-05,-0.000124,-6.5e-05,3
1,193488,1,0.000143,3,,,-0.000347,-0.000334,-0.000359,3
1,193490,1,0.0,1,,,1.1e-05,2.9e-05,-8e-06,1
1,193492,1,7e-06,1,,,-1.7e-05,-1.5e-05,-1.9e-05,1
1,193494,3,0.0,0,,,0.000209,0.000288,0.000129,0
1,193496,3,0.0,0,,,1.2e-05,1.6e-05,8e-06,1
1,193498,1,0.0,0,,,1.1e-05,4e-06,1.7e-05,0
1,193500,0,0.000195,1,,,-0.000116,-0.000188,-4.4e-05,1
1,193502,0,0.0,0,,,0.000644,0.000779,0.000508,0
1,193504,3,3e-06,0,,,-2e-06,-1.8e-05,1.4e-05,0
1,193506,1,0.0,0,,,0.000559,0.000894,0.000224,0
1,193508,3,5.9e-05,2,,,-8.7e-05,-0.000141,-3.2e-05,2
1,193510,3,0.0,0,,,0.000212,0.000239,0.000184,0
1,193512,0,0.0,0,,,0.001544,0.001369,0.001719,0
1,193514,0,0.0,0,,,0.000502,0.000686,0.000317,0
1,193516,3,6e-06,0,,,-1.1e-05,-5e-06,-1.6e-05,0
1,193518,3,1.2e-05,2,,,-1.7e-05,-3.1e-05,-3e-06,2
1,193520,3,1e-05,2,,,-1.1e-05,-4.1e-05,1.9e-05,2
1,193522,3,0.0,2,,,0.001941,0.002748,0.001134,2
1,193524,3,0.0,2,,,0.000159,0.000104,0.000214,2
1,193526,0,0.0,0,,,0.001203,0.001475,0.000931,1
1,193528,0,0.0,0,,,4.3e-05,6.9e-05,1.8e-05,2
1,193530,3,0.0,0,,,0.000261,0.0001,0.000422,0
1,193532,0,0.0,0,,,0.000356,0.000412,0.000299,0
1,193534,1,0.0,0,,,0.0,0.0,0.0,0
1,193536,3,0.0,0,,,0.000136,0.000178,9.4e-05,0
1,193538,1,1.8e-05,1,,,-4e-05,-5.9e-05,-2e-05,1
1,193540,3,1.4e-05,1,,,-2.4e-05,-1.9e-05,-2.8e-05,1
1,193542,1,4e-05,1,,,-8.5e-05,-0.000137,-3.4e-05,1
1,193544,2,0.0,0,,,7e-05,7.4e-05,6.6e-05,0
1,193546,2,0.0,0,,,0.001019,0.001141,0.000897,0
1,193548,3,4.5e-05,1,,,-8.6e-05,-3.2e-05,-0.00014,1
1,193550,3,0.0,1,,,0.000446,0.000272,0.000619,1
1,193552,3,0.0,1,,,4e-06,0.0,9e-06,1
1,193554,3,0.0,1,,,0.000181,0.000228,0.000134,1
1,193556,1,0.0,0,,,0.000269,0.000316,0.000222,0
1,193558,3,1.9e-05,2,,,-2.6e-05,-5.2e-05,-0.0,2
1,193560,3,0.0,0,,,0.000199,0.000231,0.000167,0
1,193562,3,0.0,0,,,7.8e-05,4e-06,0.000153,0
1,193564,1,0.0,0,,,2e-06,0.0,3e-06,0
